|q|Ответ сотрудника|Вопрос из БЗ|Ответ из БЗ|Классификатор 1 уровня|Классификатор 2 уровня|aug_questions|Paraphrase 1|Paraphrase 2|Paraphrase 3
51|МОЖНО ПОВТОРНО ВОЙТИ В ПРИЛОЖЕНИЕ СТУДИИ?|Да, если у вас есть ранее созданный аккаунт в RUTUBE.|Можно ли авторизоваться в приложении Студия RUTUBE под уже существующим аккаунтом?|Да, если у вас есть ранее созданный аккаунт в RUTUBE.|УПРАВЛЕНИЕ АККАУНТОМ|Регистрация/Авторизация|МОЖНО ПОВТОРНО забраться В ПРИЛОЖЕНИЕ СТУДИИ?|1. 'МОЖНО ЕЩЁ РАЗ ЗАЙТИ В СТУДИЙНОЕ ПРИЛОЖЕНИЕ?'|2. 'ПОВТОРНО В СТУДИЮ МОЖНО ЗАЙТИ ИЛИ КАК?'|3. 'МОЖНО ЛИ СНОВА ВОЙТИ В ПРИЛОЖЕНИЕ СТУДИИ?'
52|Можно ли сделать так, чтобы в приложении студии и обычном приложении рутуба был один канал?|Да, вы можете авторизоваться в приложении Студия RUTUBE, если у вас есть ранее созданный аккаунт в RUTUBE.|Можно ли авторизоваться в приложении Студия RUTUBE под уже существующим аккаунтом?|Да, если у вас есть ранее созданный аккаунт в RUTUBE.|УПРАВЛЕНИЕ АККАУНТОМ|Регистрация/Авторизация|Можно ли сделать так, чтобы в приложении студии и расхожем приложении рутуба был один канал?|1. А можно как-то настроить, чтобы в приложении студии и в обычном рутубовском приложении был один и тот же канал?|2. Как сделать так, чтобы канал в приложении студии и обычном приложении рутуба был одним и тем же?|3. Есть ли способ, чтобы и в студийной версии, и в основном приложении Rutube был один канал?
53|как можно выполнить вход в приложении Студия RUTUBE с пароле или без?|Вы можете войти, если у вас есть ранее созданный пароль. Если у вас нет пароля, то вы можете его создать в своем профиле внутри приложения Студии RUTUBE. Либо выполнить вход в помощью ввода проверочного кода.|Можно ли авторизоваться (выполнить вход) в приложении Студия RUTUBE без ввода проверочного кода?|Да, если у вас есть ранее созданный пароль. Если у вас нет пароля, то вы можете его создать в своем профиле внутри приложения Студии RUTUBE.|УПРАВЛЕНИЕ АККАУНТОМ|Регистрация/Авторизация|как можно произвести вход в приложении Студия RUTUBE с пароле или без?|1. Как войти в приложение Студия RUTUBE через авторизацию с паролем или без него?|2. Что сделать, чтобы зайти в Студию RUTUBE с паролем или без авторизации?|3. Каким способом можно войти в приложение Студия RUTUBE: с паролем или без пароля?
54|Обязательно ли код вводить при входе в студию?|Нет, не обязательно. Вы можете войти, если у вас есть ранее созданный пароль. Если у вас нет пароля, то вы можете его создать в своем профиле внутри приложения Студии RUTUBE.|Можно ли авторизоваться (выполнить вход) в приложении Студия RUTUBE без ввода проверочного кода?|Да, если у вас есть ранее созданный пароль. Если у вас нет пароля, то вы можете его создать в своем профиле внутри приложения Студии RUTUBE.|УПРАВЛЕНИЕ АККАУНТОМ|Регистрация/Авторизация|Обязательно ли код вводить при выходе в студию?|1. Нужно ли всенепременно вводить код, чтобы зайти в студию?  |2. Код обязательно требуется для входа в студию или как?|3. Для входа в студию код всегда нужен, а?
55|Как без проверочного кода зайти в приложении студии?|Вы можете войти, если у вас есть ранее созданный пароль. Если у вас нет пароля, то вы можете его создать в своем профиле внутри приложения Студии RUTUBE. |Можно ли авторизоваться (выполнить вход) в приложении Студия RUTUBE без ввода проверочного кода?|Да, если у вас есть ранее созданный пароль. Если у вас нет пароля, то вы можете его создать в своем профиле внутри приложения Студии RUTUBE.|УПРАВЛЕНИЕ АККАУНТОМ|Регистрация/Авторизация|Как без проверочного шифра зайти в приложении студии?|1. Как войти в приложение студии без проверочного кода?|2. Можно ли зайти в студию, не вводя проверочный код?|3. Как попасть в приложение студии, не используя проверочный код?
56|Как можно выйти со всех устройств в пиложении студии? |"Для выхода из аккаунта кликните на фото своего профиля в правом верхнем углу и нажмите на кнопку ""Выйти"" внизу экрана."|Как выйти из аккаунта в приложении Студия RUTUBE?|"Для выхода из аккаунта кликните на фото своего профиля в правом верхнем углу и нажмите на кнопку ""Выйти"" внизу экрана."|УПРАВЛЕНИЕ АККАУНТОМ|Персонализация|Как можно пойти со всех устройств в пиложении студии? |Как можно разлогиниться со всех устройств в студийном приложении?|Подскажите, как отключить все устройства в приложении студии?|Как можно выйти из аккаунта сразу на всех устройствах в студийном приложении?
57|напишите пошагово действия как выйти из канала в приложении Студия RUTUBE|"Для выхода из аккаунта кликните на фото своего профиля в правом верхнем углу и нажмите на кнопку ""Выйти"" внизу экрана."|Как выйти из аккаунта в приложении Студия RUTUBE?|"Для выхода из аккаунта кликните на фото своего профиля в правом верхнем углу и нажмите на кнопку ""Выйти"" внизу экрана."|УПРАВЛЕНИЕ АККАУНТОМ|Персонализация|напишите пошагово действия как вырваться из канала в приложении Студия RUTUBE|1. Подскажите, по шагам, как выйти из канала в приложении Студия RUTUBE.|2. Напишите подробно, как поэтапно выйти из канала в RUTUBE-студии.|3. Объясните, что нужно сделать, чтобы по шагам выйти из канала в приложении Студия RUTUBE.
58|я могу вообще выйти из студии на айфоне?|"Да, для выхода из аккаунта кликните на фото своего профиля в правом верхнем углу и нажмите на кнопку ""Выйти"" внизу экрана."|Как выйти из аккаунта в приложении Студия RUTUBE?|"Для выхода из аккаунта кликните на фото своего профиля в правом верхнем углу и нажмите на кнопку ""Выйти"" внизу экрана."|УПРАВЛЕНИЕ АККАУНТОМ|Персонализация|я могу вообще выбраться из студии на айфоне?|1. 'Так я че, могу прямо со студии на айфоне выйти?'|2. 'Я реально могу с айфона из студии выйти?'|3. 'Так а что, с айфона из студии выйти реально можно?'
59|какие данные можно менять в приложении Студия RUTUBE?|"Вы можете изменять пол, дату рождения и пароль. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Мои данные"". Изменение номера телефона или электронной почты пока доступно только в веб-версии RUTUBE: https://rutube.ru/profile/"|Можно ли изменять данные профиля в приложении Студия RUTUBE?|"Вы можете изменять пол, дату рождения и пароль. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Мои данные"". Изменение номера телефона или электронной почты пока доступно только в веб-версии RUTUBE: https://rutube.ru/profile/"|УПРАВЛЕНИЕ АККАУНТОМ|Персонализация|кои данные можно менять в приложении Студия RUTUBE?|1. Подскажите, какие именно данные можно редактировать в приложении Студия RUTUBE?|2. Какие параметры доступны для изменения в программе Студия RUTUBE?|3. Кто-нибудь в курсе, что можно настраивать в Студии RUTUBE?
60|Как в приложении Студия RUTUBE мне изменить дату рождения?|"Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Мои данные"". Там вы сможете изменить дату рождения."|Можно ли изменять данные профиля в приложении Студия RUTUBE?|"Вы можете изменять пол, дату рождения и пароль. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Мои данные"". Изменение номера телефона или электронной почты пока доступно только в веб-версии RUTUBE: https://rutube.ru/profile/"|УПРАВЛЕНИЕ АККАУНТОМ|Персонализация|Как в использовании Студия RUTUBE мне изменить дату рождения?|1. Как можно поменять дату рождения в приложении Студия на RUTUBE?|2. Подскажите, где в приложении Студия от RUTUBE можно изменить дату рождения?|3. Как в RUTUBE Студия отредактировать информацию о дате рождения?
61|Как в приложении Студия RUTUBE изменить номер телефона?|Изменение номера телефона или электронной почты пока доступно только в веб-версии RUTUBE: https://rutube.ru/profile/. Однако, мы уже зафиксировали информацию для команды разработки.|Можно ли изменять данные профиля в приложении Студия RUTUBE?|"Вы можете изменять пол, дату рождения и пароль. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Мои данные"". Изменение номера телефона или электронной почты пока доступно только в веб-версии RUTUBE: https://rutube.ru/profile/"|УПРАВЛЕНИЕ АККАУНТОМ|Персонализация|Как в использовании Студия RUTUBE изменить номер телефона?|1. Как поменять номер телефона в приложении Студия RUTUBE?|2. Где в Студии RUTUBE можно изменить привязанный номер телефона?|3. Подскажите, как в приложении RUTUBE Студия сменить номер телефона?
62|можно обновить в приложении Студия RUTUBE описание канала?|"Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала""."|Можно ли изменять название и описание профиля канала в приложении Студия RUTUBE?|"Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала""."|УПРАВЛЕНИЕ АККАУНТОМ|Персонализация|можно обновить в приложении Студия RUTUBE изображение канала?|"1. ""А как обновить описание канала в приложении Студия RUTUBE?""  "|"2. ""Можно ли как-то поменять описание канала через Студию RUTUBE?""  "|"3. ""В Студии RUTUBE можно обновить описание канала, да?"""
63|Где можно изменить название канала в студии на смартфорне?|"Для изменения названия канала, нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала""."|Можно ли изменять название и описание профиля канала в приложении Студия RUTUBE?|"Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала""."|УПРАВЛЕНИЕ АККАУНТОМ|Персонализация|Где можно изменить название ухаба в студии на смартфорне?|1. Подскажите, пожалуйста, где менять название канала в студии на смартфоне?|2. Где в мобильной версии студии можно поменять название канала?|3. Как на смартфоне в студии сменить название канала?
64|как удалить канал в приложении Студия RUTUBE|"Для удаления нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала"", внизу экрана нажмите на кнопку ""Удалить канал""."|Можно ли удалить канал через приложение Студия RUTUBE?|"Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала"", внизу экрана нажмите на кнопку ""Удалить канал""."|УПРАВЛЕНИЕ АККАУНТОМ|Удаление аккаунта|как удалить канал в использовании Студия RUTUBE|1. Как можно удалить свой канал через Студию RUTUBE?|2. Подскажите, как убрать канал в приложении Студия RUTUBE?|3. Кто-нибудь знает, как удалить канал через RUTUBE Studio?
65|Здравствуйте ! Хочу удалить аккаунт, а кнопки удаления вроде нету ни в профиле, ни в студиии приложении. Как удалить?|"Для удаления канала в приложении Студия RUTUBE нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала"", внизу экрана нажмите на кнопку ""Удалить канал""."|Можно ли удалить канал через приложение Студия RUTUBE?|"Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала"", внизу экрана нажмите на кнопку ""Удалить канал""."|УПРАВЛЕНИЕ АККАУНТОМ|Удаление аккаунта|Здравствуйте ! Хочу удалить аккаунт, а кнопки иссечения вроде нету ни в профиле, ни в студиии приложении. Как удалить?|1. Привет! Хочу удалить аккаунт, но не могу найти кнопку для этого ни в профиле, ни в настройках приложения. Как вообще удалиться?||2. Доброго времени суток! Столкнулся с проблемой: хочу удалить аккаунт, но в профиле и в приложении не вижу кнопки для этого. Подскажите, как сделать?
66|как изменить фотку профиля в приложении студии?|Для этого в правом верхнем углу нажмите на фото своего профиля. Затем кликните на иконку фотоаппарата на вашей текущей обложке или фотографии профиля.|Можно ли изменить обложку канала и фото профиля в приложении Студия RUTUBE?|Да, можно. Для этого, в правом верхнем углу нажмите на фото своего профиля. Затем кликните на иконку фотоаппарата, на вашей текущей обложке или фотографии профиля.|УПРАВЛЕНИЕ АККАУНТОМ|Персонализация|как изменить фотку профиля в дополнении студии?|1. Подскажите, как поменять фото профиля в приложении студии?  |2. Как обновить аватарку в приложении для студии?|3. Кто знает, как сменить фотку профиля в приложении студии?
67|можно ли в приложении Студия RUTUBE поменять фотографию канала?|Да, можно. Для этого в правом верхнем углу нажмите на фото своего профиля. Затем кликните на иконку фотоаппарата на вашей текущей фотографии профиля.|Можно ли изменить обложку канала и фото профиля в приложении Студия RUTUBE?|Да, можно. Для этого, в правом верхнем углу нажмите на фото своего профиля. Затем кликните на иконку фотоаппарата, на вашей текущей обложке или фотографии профиля.|УПРАВЛЕНИЕ АККАУНТОМ|Персонализация|можно ли в приложении Студия RUTUBE сменить фотографию канала?|"1. ""Есть ли возможность сменить фото канала в приложении Студия RUTUBE?""  "|"2. ""Могу ли я как-то изменить фотографию канала через приложение Студия RUTUBE?""  "|"3. ""Вопрос: как поменять фотку канала в приложении Студия RUTUBE?"""
68|как мне выдать доступы к студии канала через приложение Студия RUTUBE?|"На данный момент в приложении такой возможности нет, мы учли это как предложение. Рекомендуем воспользоваться веб-версией Студии для управления доступами к своему каналу. Перейдите в настройки канала и в разделе ""Доступы к студии канала"" нажмите на ""Добавить пользователя"": ссылка Подробнее про управление доступами: https://rutube.ru/info/studio"|Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?|"Нет. На данный момент в приложении такой возможности нет. Рекомендуем воспользоваться веб-версией Студии для управления доступами к своему каналу. Перейдите в настройки канала и в разделе ""Доступы к студии канала"" нажмите на ""Добавить пользователя"": ссылка Подробнее про управление доступами: https://rutube.ru/info/studio"|ПРЕДЛОЖЕНИЯ|Студия RUTUBE|как мне выдать доступы к студии канала через добавление Студия RUTUBE?|1. Как через приложение Студия RUTUBE выдать доступы к каналу?|2. Подскажите, как в приложении Студия RUTUBE настроить доступы к студии канала?|3. Как в Студии RUTUBE на телефоне сделать доступы к каналу?
69|уже можно настраивать доступп к студии через приложение?|"Нет. На данный момент в приложении такой возможности нет. Рекомендуем воспользоваться веб-версией Студии для управления доступами к своему каналу. Перейдите в настройки канала и в разделе ""Доступы к студии канала"" нажмите на ""Добавить пользователя"": ссылка Подробнее про управление доступами: https://rutube.ru/info/studio"|Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?|"Нет. На данный момент в приложении такой возможности нет. Рекомендуем воспользоваться веб-версией Студии для управления доступами к своему каналу. Перейдите в настройки канала и в разделе ""Доступы к студии канала"" нажмите на ""Добавить пользователя"": ссылка Подробнее про управление доступами: https://rutube.ru/info/studio"|ПРЕДЛОЖЕНИЯ|Студия RUTUBE|уже можно подзадоривать доступп к студии через приложение?|1. Уже можно через приложение к студии доступ настраивать?|2. Через приложение доступ к студии уже настраивать можно?|3. Можно уже настроить доступ к студии с приложения?
70|Как управлять другим каналом через приложение Студия RUTUBE?|Если вам выданы права на управление другим каналом, то управлять им можно только в веб-версии Студии: https://studio.rutube.ru/ Для этого нажмите на иконку профиля в правом верхнем углу Студии и выберете тот канал, которым хотите начать управлять. Подробнее про управление доступами: https://rutube.ru/info/studio|Можно ли управлять другим каналом через приложение Студия RUTUBE?|Нет. Если вам выданы права на управление другим каналом, то это можно сделать только в веб-версии Студии: https://studio.rutube.ru/ Для этого нажмите на иконку профиля в правом верхнем углу Студии и выберете тот канал, которым хотите начать управлять. Подробнее про управление доступами: https://rutube.ru/info/studio|ПРЕДЛОЖЕНИЯ|Студия RUTUBE|Как командовать другим каналом через приложение Студия RUTUBE?|1. Как переключаться на другой канал через приложение Студия RUTUBE?|2. Как в приложении Студия RUTUBE управлять вторым каналом?|3. Как выполнять управление другим аккаунтом через приложение RUTUBE Студия?
71|могу я делать что-то на канале другого человека в приложении студия, если дали доступ?|Нет. Если вам выданы права на управление другим каналом, то это можно сделать только в веб-версии Студии: https://studio.rutube.ru/ Для этого нажмите на иконку профиля в правом верхнем углу Студии и выберете тот канал, которым хотите начать управлять. Подробнее про управление доступами: https://rutube.ru/info/studio|Можно ли управлять другим каналом через приложение Студия RUTUBE?|Нет. Если вам выданы права на управление другим каналом, то это можно сделать только в веб-версии Студии: https://studio.rutube.ru/ Для этого нажмите на иконку профиля в правом верхнем углу Студии и выберете тот канал, которым хотите начать управлять. Подробнее про управление доступами: https://rutube.ru/info/studio|ПРЕДЛОЖЕНИЯ|Студия RUTUBE|могу я делать что-то на канале другого человека в приложении студия, если поднесли доступ?|1. Я могу что-то делать на чужом канале в Студии, если мне дали доступ?|2. Можно ли как-то работать на другом канале через Студию, если открыт доступ?|3. Если дали доступ, можно ли управлять контентом на чужом канале через приложение Студия?
72|Что не так может быть с обложкой канала?|Мы рекомендуем соблюдать следующие требования: Разрешение: 2204х864 пикселей Формат: jpeg, jpg или png Размер файла: не более 10 МБ.|Какие требования к обложке канала?|Мы рекомендуем соблюдать следующие требования: Разрешение: 2204х864 пикселей Формат: jpeg, jpg или png Размер файла: не более 10 МБ.|УПРАВЛЕНИЕ АККАУНТОМ|Персонализация|Что не так может быть с обложкой распадка?|1. А что не так с обложкой на канале может быть?|2. Какие проблемы могут возникнуть с обложкой канала?|3. Что может быть не в порядке с обложкой на канале?
73|Добрый день, не загружается обложка канала, пишет странный размер - не более 2204|Мы рекомендуем соблюдать следующие требования: Разрешение: 2204х864 пикселей Формат: jpeg, jpg или png Размер файла: не более 10 МБ. Если возникнут проблемы, пожалуйста. Напишите нам снова.|Какие требования к обложке канала?|Мы рекомендуем соблюдать следующие требования: Разрешение: 2204х864 пикселей Формат: jpeg, jpg или png Размер файла: не более 10 МБ.|УПРАВЛЕНИЕ АККАУНТОМ|Персонализация|Добрый час, не загружается обложка канала, пишет странный размер - не более 2204|1. Привет, ребят! Обложку на канал загрузить не могу, выдает странное ограничение — максимум 2204.||2. Здравствуйте! Пытался загрузить обложку на канал, а система пишет какой-то непонятный лимит — не больше 2204.
74|"Можно скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?"|На данный момент такой возможности нет. Мы постоянно работаем над улучшением платформы и прислушиваемся к мнению пользователей. Ваше пожелание уже передали команде разработки. Надеемся, что ближайшие обновления вас обязательно порадуют.|"Можно ли менять местами или скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?"|На данный момент такой возможности нет.|ПРЕДЛОЖЕНИЯ|Навигация|"Можно скрыть разделы во вкладке ""вид"" в приложении Студия RUTUBE?"|"1. Есть ли возможность скрыть разделы на вкладке ""Обзор"" в приложении Студии RUTUBE?"||"2. Кто знает, можно ли закрыть разделы в ""Обзоре"" RUTUBE Студии?"
75|"Можно ли менять местами  разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?"|На данный момент такой возможности нет. Однако мы зафиксируем ваше предложение.|"Можно ли менять местами или скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?"|На данный момент такой возможности нет.|ПРЕДЛОЖЕНИЯ|Навигация|"Можно ли менять местами  параграфы во вкладке ""Обзор"" в приложении Студия RUTUBE?"|"1. Можно ли как-то перемещать разделы в ""Обзоре"" приложения Студия RUTUBE?"|"2. Можно ли поменять местами разделы в разделе ""Обзор"" в приложении RUTUBE Студия?"|"3. Есть ли возможность переставлять разделы во вкладке ""Обзор"" в Студии RUTUBE?"
76|Можно ли увидеть аналитику по конкретному видео в приложении Студия RUTUBE?|"На данный момент вы можете посмотреть аналитику только по последнему опубликованному видео. Чтобы посмотреть аналитику по другим видео вы можете воспользоваться разделом ""Аналитика"" выбрав вкладку ""Видео"" в веб-версии Студии."|Как посмотреть аналитику по конкретному видео в приложении Студия RUTUBE?|"На данный момент вы можете посмотреть аналитику только по последнему опубликованному видео. Чтобы посмотреть аналитику по другим видео вы можете воспользоваться разделом ""Аналитика"" выбрав вкладку ""Видео"" в веб-версии Студии: ссылка"|ПРЕДЛОЖЕНИЯ|Студия RUTUBE|Можно ли увидеть аналитику по действительному видео в приложении Студия RUTUBE?|1. А можно как-то посмотреть аналитику по отдельному видео в приложении Студия RUTUBE?|2. Где посмотреть статистику по конкретному ролику в RUTUBE Studio?|3. В Студии RUTUBE есть возможность глянуть аналитику по одному видео?
77|в приложении Студия как увидеть аналитику по всем видео?|"На данный момент это недоступно в приложении. Ваше пожелание уже передали команде разработки. Чтобы посмотреть аналитику по другим видео вы можете воспользоваться разделом ""Аналитика"" выбрав вкладку ""Видео"" в веб-версии Студии."|Как посмотреть аналитику по конкретному видео в приложении Студия RUTUBE?|"На данный момент вы можете посмотреть аналитику только по последнему опубликованному видео. Чтобы посмотреть аналитику по другим видео вы можете воспользоваться разделом ""Аналитика"" выбрав вкладку ""Видео"" в веб-версии Студии: ссылка"|ПРЕДЛОЖЕНИЯ|Студия RUTUBE|в использовании Студия как увидеть аналитику по всем видео?|1. Как в приложении Студия посмотреть аналитику всех моих видео?|2. Где в Студии можно увидеть общую аналитику по загруженным видео?|3. Как в Студии можно открыть аналитику сразу на все видео?
78|Доброй ночи, возможно мои пожелания с 99% не учтут но все же ) Добавьте аналитику по все видео  в обычном приложении студии тоже было бы не плохо Добавил 4,5 скрин - как то скудно он выглядит на фоне других и не так удобно надеюсь на то что вы станете на 1 месте пока что в России а дальше и по миру|"На данный момент такой возможности нет. Мы постоянно работаем над улучшением платформы и прислушиваемся к мнению пользователей. Ваше пожелание уже передали команде разработки. Надеемся, что ближайшие обновления вас обязательно порадуют. Пока что, чтобы посмотреть аналитику по другим видео вы можете воспользоваться разделом ""Аналитика"" выбрав вкладку ""Видео"" в веб-версии Студии: ссылка"|Как посмотреть аналитику по конкретному видео в приложении Студия RUTUBE?|"На данный момент вы можете посмотреть аналитику только по последнему опубликованному видео. Чтобы посмотреть аналитику по другим видео вы можете воспользоваться разделом ""Аналитика"" выбрав вкладку ""Видео"" в веб-версии Студии: ссылка"|ПРЕДЛОЖЕНИЯ|Студия RUTUBE|Доброй ночи, возможно мои пожелания с 99% не учтут но все же ) Добавьте аналитику по все видео  в частом приложении студии тоже было бы не плохо Добавил 4,5 скрин - как то скудно он выглядит на фоне других и не так удобно надеюсь на то что вы станете на 1 месте пока что в России а дальше и по миру|1. Спокойной ночи! Может, на мои предложения даже не обратят внимание, но всё же напишу :) Было бы классно добавить аналитику по всем видео в обычное приложение студии, потому что её серьёзно не хватает! Ещё добавил 4,5 скрин — и он как-то уж больно бедненько смотрится по сравнению с другими, пользоваться не очень удобно. Надеюсь, что вы скоро займете первое место в России, а там и до мирового успеха недалеко ;)||2. Привет! Понимаю, что, скорее всего, мои пожелания на 99% проигнорят, но чего уж там, напишу всё равно :) Очень бы хотелось, чтобы аналитику по всем видео добавили в простое приложение студии, это было бы удобно. А еще 4,5 скрин выглядит слабовато на фоне остальных — не очень комфортно им пользоваться. Надеюсь, вы быстро займёте топ в России, а потом и весь мир завоюете :)
79|сколько денег я заработал за видео в приложении студии?|"На данный момент в приложении нет возможности смотреть доход по конкретному видео, но вы можете посмотреть аналитику в веб-версии Студии, для этого перейдите в раздел ""Монетизация"" и нажмите на вкладку ""Видео"": https://studio.rutube.ru/monetization. Ваше пожелание уже передали команде разработки. Надеемся, что ближайшие обновления вас обязательно порадуют."|Как посмотреть доход по конкретному видео в приложении Студия RUTUBE?|"На данный момент в приложении такой возможности нет, но вы можете посмотреть аналитику в веб-версии Студии, для этого перейдите в раздел ""Монетизация"" и нажмите на вкладку ""Видео"": https://studio.rutube.ru/monetization"|ПРЕДЛОЖЕНИЯ|Монетизация|сколько денег я заработал за видео в использовании студии?|1. Сколько я смог заработать с этого видео через приложение студии?|2. А сколько денег мне принесло это видео в студийном приложении?|3. Какую сумму я заработал с ролика, загруженного через приложение студии?
80|"Где посмотреть доход по ролику ""Тундра""? В студии не вижу, на сайте чтоль надо"|"На данный момент в приложении такой возможности нет, но вы можете посмотреть аналитику в веб-версии Студии, для этого перейдите в раздел ""Монетизация"" и нажмите на вкладку ""Видео"": https://studio.rutube.ru/monetization"|Как посмотреть доход по конкретному видео в приложении Студия RUTUBE?|"На данный момент в приложении такой возможности нет, но вы можете посмотреть аналитику в веб-версии Студии, для этого перейдите в раздел ""Монетизация"" и нажмите на вкладку ""Видео"": https://studio.rutube.ru/monetization"|ПРЕДЛОЖЕНИЯ|Монетизация|"Где посмотреть доход по ролику ""Тундра""? при студии не вижу, на сайте чтоль надо"|"1. ""Не могу найти, где глянуть доход по ролику 'Тундра'. В студии не вижу, что на сайте что ли смотреть надо?"""||"2. ""Куда зайти, чтобы узнать доход с ролика 'Тундра'? В студии не вижу. Это на сайт идти или как?"""
81|Как в студии рутуба на телефоне подать заявку на монетизацию?|"На данный момент в приложении такой возможности нет, но вы можете подключиться к партнерской программе в веб-версии Студии в разделе ""Монетизация"". Подробнее про подключение к партнерской программе: https://rutube.ru/info/monetization"|Как подключиться к партнерской программе в приложении Студия RUTUBE?|"На данный момент в приложении такой возможности нет, но вы можете подключиться к партнерской программе в веб-версии Студии в разделе ""Монетизация"": ссылка Подробнее про подключение к партнерской программе: https://rutube.ru/info/monetization"|ПРЕДЛОЖЕНИЯ|Монетизация|Как в студии рутуба на телефоне подать заявку на монетизацию?|1. Как через мобильное приложение RuTube на телефоне оформить заявку на монетизацию?|2. Где в приложении RuTube на смартфоне найти функцию для подачи заявки на монетизацию?|3. Подскажите, как подать заявку на монетизацию через телефон в приложении студии RuTube?
